ID,CODIGO,PAIS,ALIMENTO,TIPO,CEPA,PARTE,PROCESO,GRADO,MENSAJE,GENERO,ESPECIE,VARIEDAD,NOMBRE_ALT,NOMBRE_COMERCIAL,REFERENCIA,NOMBRE_CORTO,WATER,PROCNT,XN,FAT,ASH,FIBTG,CHOCDF,CHOAVL,ENERC,ENERC_KJ,FASAT,FAMS,FAPU,CHOLE,NA,K,CA,P,FE,ZN,VITA,CARTBEQ,THIA,RIBF,NIA,VITC
1,A001,Perú,Achita,,,,cruda,,,Amaranthus,caudatus,,"Achis, Kiwita",,,"Achita, cruda ",12,"13,5",,"7,1","2,4",,65,,,,,,,,,,236,453,"7,5",,,,"0,3","0,01","0,4","1,3"
2,A002,Perú,Achita,,,,tostada,,,Amaranthus,caudatus,,"Achis, Kiwita",,,"Achita, tostada","0,7","14,5",,"7,8","2,7",,"74,3",,,,,,,,,,283,502,"8,1",,,,"0,01","0,01","1,3","0,5"
3,A003,Bolivia,Trigo,afrechillo,,semilla y cáscara,,,,Triticum ,aestivum,,,,,"Afrechillo, de trigo ","6,9","11,3",,"3,6","5,1",,"73,1",,,,,,,,,,171,728,"19,5",,6,,"0,36","0,88","8,69",0
4,A004,Ecuador,Cebada,afrecho,,,,,,Hordeum,sativum,,,,13,"Afrecho, de cebada",7,,,"6,7","4,3","22,1",,,,,,,,,,,,,,,,,,,,
5,A005,Perú,Quinoa,afrecho,,,,,,Chenopodium ,quinoa,Wild,,,,"Afrecho, de quinua","14,1","10,7",,"4,5","4,8",,"65,9",,,,,,,,,,573,342,4,,,,"0,21","0,22",1,
6,A006,Venezuela,Trigo,afrecho,,,,,,,,Dark North Spring,,,,"Afrecho, de trigo, Dark N.Spring","13,2","16,3","6,25","4,5","6,1","43,8","59,9","16,1","170,1","711,7",,,,,"7,4",856,85,1510,"12,9","9,7",,,"0,8","0,38","28,8",
7,A007,Venezuela,Trigo,afrecho,,,,,,,,Durum,,,,"Afrecho, de trigo, Durum","10,4","13,3","6,25","5,2","5,5","47,7","65,6","17,9","171,6","717,97",,,,,"9,3",867,86,1261,"11,9","7,5",,,"0,45","0,41","15,7",
8,A008,Venezuela,Trigo,afrecho,soft,,,,,,,,,,,"Afrecho, de trigo, soft","9,9","14,2","6,25","4,4","4,9","42,5","66,6","24,1","192,8","806,68",,,,,"8,6",833,82,1186,"13,2","7,3",,,"0,68","0,39","10,5",
9,A009,Colombia,Almojábana,bogotana,,,,,De maíz blanco trillado y queso en proporciones iguales,,,,,,,"Almojábana, bogotana","41,3",13,,"12,3","2,8",,"30,6",,,,,,,,,,320,330,"3,6",,0,,"0,08","0,4","0,9",0
10,A010,Colombia,Almojábana,vallecaucana,,,,,De maíz blanco trillado y queso en proporciones iguales,,,,,,,"Almojábana, vallecaucana","29,1","17,5",,"14,7","4,1",,"34,6",,,,,,,,,,500,340,"0,8",,0,,"0,04","0,4","0,1",0
11,A712,Bolivia,Amaranto,grano ,,grano entero,crudo,seco,Cereal andino,Amaranthus ,caudatus L.,,"achita , kiwicha",Proimpa,Lab.Nutricion INLASA,Amaranto ,"11,2","13,2",,7,"2,1",,"66,5",,,,,,,,,,"249,3",459,"6,6",,,,"0,31","0,02","0,4",
12,A011,México,Amaranto,,,grano,tostado,seco,,,,,Alegría,,,"Amaranto, grano, tostado, seco","4,3","13,5","6,25","8,2","2,9",,"71,1",,,,,,,0,,,292,517,"1,6",,0,,0,"0,32","1,1",0
13,A012,México,Amaranto,,,hojas y tallo,crudo,fresco,,Amaranthus,caudatus,,,,,"Amaranto, hoja y tallo, crudo","12,3","12,9","6,25","7,2","2,5",,"65,1",,,,,,,0,,,247,500,"3,4",,0,,"0,14","0,32",1,0
14,A713,Argentina,Amaranto,,,semilla,cruda,,,Amarantus,mantegazzianus,,,,CITA-UNJu,"Amaranto, semilla, cruda","10,8","15,4","6,25","8,4","2,8",,"62,7",,,,,,,,,,,,"8,22",4,,,,,,
15,A714,Argentina,Amaranto,,,semilla,cruda,,,Amarantus,caudatus,,,,CITA-UNJu,"Amaranto, semilla, cruda","11,2","15,3","6,25","7,6","2,29",,"63,6",,,,,,,,,,,,"12,17","4,8",,,,,,
16,A715,Argentina,Amaranto,,,semilla,cruda,,,Amarantus,cruentus,,,,CITA-UNJu,"Amaranto, semilla, cruda","11,3","15,6","6,25","7,6","2,18",,"63,4",,,,,,,,,,,,"10,89","3,8",,,,,,
17,A716,Argentina,Amaranto,,,semilla,cruda,,,Amarantus,hipochondriacus,,,,CITA-UNJu,"Amaranto, semilla, cruda","11,5","14,4","6,25","7,4","2,47",,"64,3",,,,,,,,,,,,"13,5","4,9",,,,,,
18,A717,Bolivia,Amaranto ,grano,,grano,tostado,seco,Cereal andino,Amaranthus ,caudatus L.,,"achita , kiwicha",Proimpa,Lab.Nutricion INLASA,"Amaranto, tostado ","9,13","12,97",,"6,74","2,15",,"69,01",,,,,,,,,,"250,3","468,5","6,8",,,,"0,01","0,01","1,22",
19,A013,Bolivia,Api,,,,,,Maíz morado molido y dextrinizado,,,Kantuta,,,,"Api, en polvo","4,2","3,2",,2,"0,8",,"89,8",,,,,,,,,,20,151,6,,0,,"0,1","0,24","2,06",1
20,A014,Bolivia,Api,,,,,,Maíz morado molido y dextrinizado,,,Litoral,,,,"Api, en polvo","4,1","3,1",,"2,2","0,7",,"89,9",,,,,,,,,,20,140,"4,6",,0,,"0,08","0,2","1,87",3
21,A015,Bolivia,Api,maíz morado molido,,,,,,,,,,,,"Api, morado","80,1","3,5",,"0,2",1,,"15,2",,,,,,,,,,14,14,"3,2",,19,,"0,03","0,15","2,75",0
22,A016,Venezuela,Arepa,amarilla,,,asada,,,,,,,,,"Arepa, amarilla, asada","49,6","4,2","6,25",,"1,4","3,9",,,,,,,,,,,,42,25,,,,"2,3",,,
23,A017,Venezuela,Arepa,blanca,,,asada,,,,,,,,,"Arepa, blanca, asada","54,1","3,8","6,25",,1,"3,6",,,,,,,,,,,,32,"2,5",,,,"2,4",,,
24,A018,Venezuela,Arepa,,con carne mechada,,,,,,,,,,,"Arepa, con carne mechada","59,7","7,8","6,25","2,7","1,3",,"28,5",,,,,,,,,,11,92,"1,8",,,,"2,2",,,
25,A019,Venezuela,Arepa,,"con jamón, queso amarillo y tomate",,,,,,,,,,,"Arepa, con jamón, queso y tomate","61,1","8,6","6,25","7,4","2,3",,"20,6",,,,,,,,,,111,155,"1,2",,,,2,,,
26,A020,Venezuela,Arepa,,con pollo,,,,,,,,,,,"Arepa, con pollo","64,2","4,7","6,25","3,4","1,4",,"26,3",,,,,,,,,,15,77,2,,,,"3,2",,,
27,A021,Venezuela,Arepa,,con queso guayanés,,,,,,,,,,,"Arepa, con queso guayanés","56,7","8,8","6,25","8,4","1,9",,"24,2",,,,,,,,,,114,114,"1,2",,,,"0,6",,,
28,A022,Colombia,Arepa,de maíz amarillo,,,,,,Zea,mays L.,,,,,"Arepa, de maíz amarillo","62,5","7,2",,"0,5","0,7",,"29,1",,,,,,,,,,13,38,"0,4",,36,,"0,01","0,03","0,8",0
29,A023,Colombia,Arepa,de maíz blanco trillado,redonda,,,,,Zea,mays L.,,,,,"Arepa, de maíz blanco, redonda","57,5","4,1",,"0,5","0,1",,"37,8",,,,,,,,,,3,25,"1,8",,0,,"0,03","0,01","0,1",0
30,A024,Venezuela,Arepa,de trigo,,,cocida,,,,,,Arepa andina,,,"Arepa, de trigo, cocida",25,"9,9","5,83","2,6","1,8",,"60,7",,,,,,,,,,30,117,"2,2",,,,"0,16","0,03","1,9",
31,A025,Colombia,Arepa,,,,frita,,,Zea,mays L.,,,,,"Arepa, frita","44,1","3,4",,"20,3","0,1",,"32,1",,,,,,,,,,2,18,2,,0,,"0,02","0,01","0,1",0
32,A026,Venezuela,Arepa,,con pollo,,frita,,,,,,,,,"Arepa, frita, con pollo","58,2","12,4","6,25",4,"1,4",,24,,,,,,,,,,8,93,"1,2",,,,"4,7",,,
33,A027,Colombia,Arepa,de maíz blanco trillado,plana delgada,,,,,Zea,mays L.,,,,,"Arepa, maíz blanco, plana delgada","64,1","3,4",,"0,3","0,1",,"32,1",,,,,,,,,,2,18,"0,4",,0,,"0,02","0,01","0,1",0
34,A028,Colombia,Arepa,de maíz blanco trillado,plana semigruesa,,,,,Zea,mays L.,,,,,"Arepa, maíz blanco, plana semigruesa","54,8","3,8",,"0,6","0,1",,"40,7",,,,,,,,,,3,32,"0,8",,0,,"0,03","0,02","0,2",0
35,A029,Venezuela,Arepa,,reina pepeada,,,,Ensalada de gallina y aguacate,,,,,,,"Arepa, reina pepeada","63,2","9,1","6,25","4,7","0,9",,"22,1",,,,,,,,,,12,61,"1,3",,,,"3,5",,,
36,A031,Costa Rica,Arroz,blanco,,"pulido, cocido","Tío Pelón, Liborio",,,Oryza,sativa,,,,,"Arroz, blanco, cocido","50,1","4,2","5,95","0,3","0,2","2,9","45,2","42,3","188,93","790,48",,,,,,,,,,,,,,,,
37,A032,Costa Rica,Arroz,blanco,,"precocido,pulido, cocido",Halcón,,,Oryza,sativa,,,,,"Arroz, blanco, precocido, cocido",57,"3,4","5,95","0,3","0,6","2,5","38,7","36,2","161,2","674,46",,,,,,,,,,,,,,,,
38,A033,Argentina,Arroz,blanco,,grano,"pulido, crudo", ,,,,,,,INN,"Arroz, blanco, pulido, crudo","12,5","6,9","6,25","0,2","1,2",,"79,2",,,,,,,,4,78,9,93,"0,7",,,,"0,04","0,09","4,7",0
39,A034,Colombia,Arroz,blanco,,,"pulido,crudo",,,Oryza ,sativa L.,,,,,"Arroz, blanco, pulido, crudo","12,2","7,8",,"0,4","0,5",,"79,1",,,,,,,,,,9,140,"5,2",,0,,"0,07","0,03","1,3",0
40,A035,Uruguay,Arroz,blanco,pulido,grano,crudo,,,Oryza ,sativa L.,,,,,"Arroz, blanco, pulido, crudo",14,"6,7",,"0,6","1,1",,"77,6",,,,,,,,,,,,,,,,,,,
41,A036,Argentina,Arroz,blanco,,grano,"pulido,hervido", ,,,,, ,,INN,"Arroz, blanco, pulido, hervido",79,"1,4","6,25","0,1","0,1",,"19,4",,,,,,,,5,80,3,26,"0,63",,,,,0,0,0
42,A037,Venezuela,Arroz,,cargo,,crudo,,,,,Araure,,,,"Arroz, cargo, crudo, variedad Araure","11,8","8,9","6,25","2,9","1,1","3,1","75,3","72,2","350,5","1466,49",,,,,"7,1",217,14,232,1,"2,3",,,"0,3","0,08","5,8",
43,A038,Venezuela,Arroz,,cargo,,crudo,,,,,Cimarrón,,,,"Arroz, cargo, crudo, variedad Cimarrón","11,3","6,8","6,25","2,7","1,1","3,1","78,1",75,"351,5","1470,68",,,,,"6,8",277,"13,4",184,"0,9",2,,,"0,28","0,08","5,9",
44,A039,Venezuela,Arroz,,cargo,,crudo,,,,,Oryzica,,,,"Arroz, cargo, crudo, variedad Oryzica","11,4","9,6","6,25","3,3","1,7","3,5",74,"70,5","350,1","1464,82",,,,,7,237,11,288,"0,9","2,1",,,"0,35","0,08","8,2",
45,A718,Brasil,Arroz,carreteiro,,,mistura p/,,,,,,,,4,"Arroz, carreteiro, mistura p/","8,13",,,,,"2,52",,,,,,,,,,,,,,,,,,,,
46,A040,Colombia,Arroz,cereal ,Quaker,,,,,,,,,,,"Arroz, cereal, Quaker","6,7","14,8",,"0,3",4,,"74,2",,,,,,,,,,761,476,"1,3",,270,,"0,45","0,37","3,1",0
47,A041,Perú,Arroz,,,con cáscara,,,,Oryza ,sativa L.,,,,,"Arroz, con cáscara","11,9","5,9",,2,"4,5",,"75,7",,,,,,,,,,40,185,,,,,"0,16","0,07","3,85",
48,A042,México,Arroz,con cocoa,,,inflado,seco,,,,,,,,"Arroz, con cocoa, inflado, seco","2,5","5,3","6,25","1,4","2,9",,"87,9",,,,,,,,765,148,18,,"6,3","5,3",440,,"1,3","1,5","17,6",
49,A043,Argentina,Arroz,con leche,,,,,,,,,,,,"Arroz, con leche",65,"3,4","6,25","3,2","2,7",,"25,7",,,,,,,,39,167,118,145,"3,17",,,,,,,
50,A044,Bolivia,Arroz,con leche,,,,,Arroz cocido en leche con añadido de azúcar y canela.,,,,,,,"Arroz, con leche","93,7","2,5",,"0,2","0,4",,"3,2",,,,,,,,,,54,34,"0,7",,147,,"0,03","0,18","3,57",0
51,A045,Chile,Arroz,con leche,,,,,,,,,,,16,"Arroz, con leche","71,1","3,6","6,38","1,9","0,8",,"22,6",,,,,,,,,,"102,9","97,7",,,,,"0,03","0,15",,
52,A046,Ecuador,Arroz,,,,confitado,,,Oryza,sativa L.,,,,6,"Arroz, confitado",0,"6,7",,"0,2","0,6","4,1","92,5","88,4","382,15","1598,92",,,,,,"1,17",0,,,,,,,,,
53,A047,Brasil,Arroz,creme,,,cozido,,,Orysa,sativa L.,,,,51,"Arroz, creme, cozido","75,79","2,01",,"0,14","0,18",0,"21,88","21,88","96,82","405,09",,,,,,,,,,,,,,,,
54,A048,Brasil,Arroz,creme,,,cru,,,Orysa,sativa L.,,,,51,"Arroz, creme, cru","10,08","7,84",,"0,95","0,52",0,"80,61","80,61","362,35","1516,07",,,,,,,,,,,,,,,,
55,A049,Bolivia,Arroz,,,grano,crudo,,,Oryza ,sativa,Carolina,,,,"Arroz, crudo, variedad Carolina","13,1","7,1",,"0,4","0,7","1,2","78,7","77,5","342,02","1431,01",,,,,,,11,117,"7,8",,0,,"0,05","0,03","1,5",0
56,A050,Bolivia,Arroz,,,grano,crudo,,,Oryza ,sativa,Perla,,,,"Arroz, crudo, variedad Perla ","11,2","7,8",,"0,2",1,"1,1","79,8","78,7","347,96","1455,86",,,,,,,17,105,"6,2",,0,,"0,06","0,03","2,06",0
57,A051,Colombia,Arroz,de leche,,,,,,,,,,,,"Arroz, de leche",82,"3,3",,"0,1","0,7",,"13,9",,,,,,,,,,92,65,"0,4",,0,,"0,1","0,05",0,0
58,A052,Brasil,Arroz,farelo,,,,,,Orysa,sativa L.,,,,4216,"Arroz, farelo","4,98","14,19",,"19,3","12,07","24,34","49,46","25,12","330,94","1384,65",,,,,,,,,,,,,,,,
59,A719,Brasil,Arroz,farinha,,,,,,,,,,Colombo,329,"Arroz, farinha, Colombo","11,6","6,9",,"1,1","0,7","0,5","79,7","79,2","354,3","1482,39",,,,,,,,,,,,,,,,
60,A053,Venezuela,Arroz,,,grano,inflado,,,,,,,,,"Arroz, inflado","2,7","4,2","5,95","2,8","3,6",,"86,7",,,,,,,,,,18,85,"1,5",,,,"1,16","0,12","4,4",
61,A054,México,Arroz,,,,inflado,seco,,,,,,,,"Arroz, inflado, seco","2,5","6,4","6,25","0,4","0,4",,"90,3",,,,,,,0,734,95,18,,"2,5","1,66",0,,"0,4","0,1","7,1",4
62,A055,República Dominicana,Arroz,integral,,,,,,,,,,,,"Arroz, integral","9,22","9,14",,"0,97","1,37",,"79,3",,,,,,,,,,,,,,,,,,,
63,A056,Venezuela,Arroz,integral,,,,,,,,,,,,"Arroz, integral","8,3","8,5","6,25",,"1,4","3,6",,,,,,,,,,,"1,4",318,"2,5",,,,"0,42","0,08","5,6",
64,A057,Costa Rica,Arroz,integral,,cocido,macrobiótico,,,Oryza,sativa,,,,,"Arroz, integral, cocido","51,8","8,3","5,95","1,1","0,6","3,2","38,2",35,"183,21","766,55",,,,,,,,,,,,,,,,
65,A058,Venezuela,Arroz,integral,,,cocido,,,,,,,,,"Arroz, integral, cocido","74,3","2,3","6,25",,"0,4","1,8",,,,,,,,,,,,88,"0,8",,,,,"0,03","1,8",
66,A059,Brasil,Arroz,integral,,,cozido/28 min,,,Orysa,sativa L.,,,,"4, 51","Arroz, integral, cozido/28 min","75,47","2,3",,"0,74","0,22","1,5","21,27","19,77","94,94","397,23",,,,,,,,,,,,,,,,
67,A060,Brasil,Arroz,integral,,,cru,,,Orysa,sativa L.,,,,"29, 73","Arroz, integral, cru","13,39","7,81",,"2,04","1,19","2,98","75,57","72,59","339,96","1422,39",,,,,,,,,,,,,,,,
68,A061,Colombia,Arroz,integral,,grano,crudo,,,Oryza ,sativa L.,,,,,"Arroz, integral, crudo","11,5","8,6",,1,"1,1",,"77,8",,,,,,,,,,10,380,8,,0,,"0,25","0,06","5,3",0
69,A062,Uruguay,Arroz,integral,,grano,crudo,,,Oryza ,sativa L.,,,,,"Arroz, integral, crudo",14,"7,5",,"2,7","0,9",,"74,9",,,,,,,,,,,,,,,,,,,
70,A063,México,Arroz,integral,,grano,crudo,seco,,Oryza,sativa l.,,,,,"Arroz, integral, crudo, seco",12,"7,5","6,25","1,9","0,2",,"78,4",,,,,,,0,9,214,32,231,"1,6","0,2",0,,"0,34","0,05","4,7",0
71,A720,Brasil,Arroz,integral,,,parbolizado,,,,,,,,4,"Arroz, integral, parbolizado","8,05",,,,,"3,03",,,,,,,,,,,,,,,,,,,,
72,A064,Uruguay,Arroz,parboiled,,grano,crudo,,,,,,,,,"Arroz, parboiled, crudo",13,"6,7",,"0,6","0,8",,"78,9",,,,,,,,,,,,,,,,,,,
73,A065,Ecuador,Arroz,,,grano,pilado,,,Oryza ,sativa,,,,9,"Arroz, pilado","10,1","8,9",,"0,8","2,1",,"78,1",,,,,,,,,,,,,,,0,"0,08","0,05",,
74,A066,Ecuador,Arroz,,,,pilado,,,Oryza ,sativa L.,,,,52,"Arroz, pilado",10,,,,"0,5",,,,,,,,,,"14,8","91,6",10,"133,2","2,1","1,46",,,,,,
75,A067,Perú,Arroz,pilado,cocido,,pulido,,,Oryza ,sativa L.,,,,,"Arroz, pilado, cocido","72,2","2,4",,"0,1","0,1",,"25,2",,,,,,,,,,11,30,"0,3",,,,,,"0,24",
76,A068,Perú,Arroz,pilado,crudo,,pulido,,,Oryza ,sativa L.,,,,,"Arroz, pilado, crudo","13,1","8,2",,"0,5","0,4",,"77,8",,,,,,,,,,6,92,"0,8",,,,"0,09","0,08","1,6","0,9"
77,A069,Brasil,Arroz,polido con leite,,,cozido,,,Orysa,sativa ,,,,"51, 60.247","Arroz, polido, con leite, cozido","76,3","2,6",,"0,53","0,72","0,97","19,85","18,88","90,69","379,45",,,,,,,,,,,,,,,,
78,A070,Brasil,Arroz,polido con leite,,,cozido,,,Orysa,sativa ,,,,"4, 60","Arroz, polido, con leite, cozido",77,,,,,"0,9",,,,,,,,,,,,,,,,,,,,
79,A071,Brasil,Arroz,polido,,,cozido,,,Orysa,sativa L.,,,,"4, 51, 60, 247","Arroz, polido, cozido","73,48","2,05",,"0,63","0,3","0,97","23,54","22,57","104,15","435,76",,,,,,,,,,,,,,,,
80,A072,Brasil,Arroz,polido,,,cru,,,Orysa,sativa L.,,,,"4, 19, 29, 73","Arroz, polido, cru","12,33","6,73",,"0,89","0,48","1,69","79,57","77,88","346,45","1449,55",,,,,,,,,,,,,,,,
81,A073,Brasil,Arroz,polido,,,cru,,,Orysa,sativa ,,,,73,"Arroz, polido, cru","12,9",,,,,"1,65",,,,,,,,,,,,,,,,,,,,
82,A721,Brasil,Arroz,polido,,,parbolizado,,,,,,,,4,"Arroz, polido, parbolizado","9,82",,,,,"0,85",,,,,,,,,,,,,,,,,,,,
83,A074,República Dominicana,Arroz,,,,precocido,,,,,,,,,"Arroz, precocido","10,45","9,83",,"0,37","1,57",,"77,78",,,,,,,,,,,,,,,,,,,
84,A722,Bolivia,Arroz,grano ,pulido,grano entero,precocido,seco,Cereal,Oriza,sativa L.,,precocido,Sasi Santa Cruz,Lab.Nutricion INLASA,"Arroz, precocido","12,04","6,95",,"0,6","0,69",,"79,72",,,,,,,,,,"15,8","118,2","2,06",,,,"0,41","1,02","3,02",
85,A075,México,Arroz,,,grano,precocido,seco,,,,,,,,"Arroz, precocido, seco","9,6","7,5","6,25","0,2","0,8",,"81,9",,,,,,,0,1,,5,,"2,9",0,0,,"0,44","1,2","3,5",0
86,A723,Brasil,Arroz,primavera,,,mistura p/,,,,,,,,4,"Arroz, primavera, mistura p/","8,51",,,,,"1,99",,,,,,,,,,,,,,,,,,,,
87,A076,República Dominicana,Arroz,,,,pulido,,,,,,,,,"Arroz, pulido","10,38","9,1",,"0,35","1,26",,"78,91",,,,,,,,,,,,,,,,,,,
88,A077,México,Arroz,,,grano,"pulido,crudo",seco,,Oryza,sativa l.,,,,,"Arroz, pulido, crudo, seco","11,2","7,4","6,25",1,"0,5",,"79,9",,,,,,,0,9,214,10,104,"1,1",0,0,,"0,23","0,03","1,6",0
89,A078,Venezuela,Arroz,,pulido,,crudo,,,,,Araure,,,,"Arroz, pulido, crudo, variedad Araure","11,3","8,6","6,25","0,6","0,3","0,8","79,2","78,4","353,4","1478,63",,,,,7,58,9,78,"0,5","1,6",,,"0,07","0,02","0,8",
90,A079,Venezuela,Arroz,,pulido,,crudo,,,,,Cimarrón,,,,"Arroz, pulido, crudo, variedad Cimarrón","10,9","6,1","6,25","0,9","0,4","1,2","81,7","80,5",355,"1485,32",,,,,"6,7",67,11,37,"0,4","1,6",,,"0,11","0,02","1,4",
91,A080,Venezuela,Arroz,,pulido,,crudo,,,,,Oryzica,,,,"Arroz, pulido, crudo, variedad Oryzica","10,9","9,2","6,25","0,6","0,4","1,3","78,9","77,6","352,6","1475,28",,,,,"6,9",68,7,69,"0,3","1,4",,,"0,1","0,01","1,2",
92,A724,Brasil,Arroz,suíço,,,mistura p/,,,,,,,,4,"Arroz, suíço, mistura p/","8,28",,,,,"3,16",,,,,,,,,,,,,,,,,,,,
93,A081,Venezuela,Arroz,,,grano,tostado,,,,,,,,,"Arroz, tostado",7,"7,3","5,95","0,9","3,2",,"81,6",,,,,,,,,,14,123,"1,1",,,,"1,53","0,05","7,8",
94,A725,Costa Rica,Arroz,,,,tostado,,,,,,,,,"Arroz, tostado","4,2",,,"6,2",2,,,,,,,,,,,,,,,,,,,,,
95,A082,República Dominicana,Arroz,vitaminado,,,,,,,,,,,,"Arroz, vitaminado","11,97","8,53",,"0,17","1,22",,"78,11",,,,,,,,,,,,,,,,,,,
96,A030,Ecuador,Arroz ,amarillo,,,pilado,,,Oryza,sativa L.,,,,52,"Arroz, amarillo, pilado ","10,3",,,,"0,8",,,,,,,,,,"11,7","155,6",15,"169,7","2,5","2,7",,,,,,
97,A726,Bolivia,Arroz ,corriente,pulido,grano entero,crudo,seco,Cereal,Oriza,sativa L.,,,Sasi Santa Cruz,Lab.Nutricion INLASA,"Arroz, corriente","11,55",6,,"0,46","0,78",,"81,21",,,,,,,,,,"11,5",113,"1,45",,,,"0,08","0,07","2,1",
98,A727,Bolivia,Arroz ,grano largo,pulido,grano entero,crudo,seco,Cereal,Oriza,sativa L.,,,Sasi Santa Cruz,Lab.Nutricion INLASA,"Arroz, grano largo","10,7",6,,"0,46","0,78",,"82,06",,,,,,,,,,"10,21","110,67","1,14",,,,"0,08","0,07","2,1",
99,A728,Bolivia,Arroz ,integral,,grano entero,crudo,seco,Cereal,Oriza,sativa L.,,,Sasi Santa Cruz,Lab.Nutricion INLASA,"Arroz, integral ","10,95","8,2",,"0,48","0,82",,"79,55",,,,,,,,,,"14,3","238,23","2,65",,,,"0,23","0,08","4,2",
100,A083,Ecuador,Arroz-quinoa,,mezcla,"24.6% arroz, 57.4% quinoa germinada, 18% azúcar",,,,,,,,,10,"Arroz-quinoa, mezcla con azúcar","4,9","11,9",,"1,2","1,3","1,1","80,7","79,6","376,88","1576,87",,,,,,,,,,,,,,,,
101,A084,Brasil,Aveia,farelo,,,cozida,,,Avena,sativa,,,,"4, 51","Aveia, farelo, cozida","76,73","4,18",,"2,31","0,67","4,11","16,11",12,"85,51","357,77",,,,,,,,,,,,,,,,
102,A085,Brasil,Aveia,fibras,,,,,,Avena,sativa,,,Oat Bran,4,"Aveia, fibras","9,6","19,3",,"11,4","2,3","15,98","57,4","41,42","345,48","1445,49",,,,,,,,,,,,,,,,
103,A086,Brasil,Aveia,flocos,,,crua,,,Avena,sativa,,,,"4, 247","Aveia, flocos, crua,","12,3","12,69",,"4,8","1,8","6,5","68,41","61,91","341,6","1429,25",,,,,,,,,,,,,,,,
104,A087,Brasil,Aveia,flocos finos,,,,,,Avena,sativa,,,Float,4,"Aveia, flocos, finos","9,8","15,6",,"8,6","1,5","9,5","64,5",55,"359,8","1505,4",,,,,,,,,,,,,,,,
105,A088,Brasil,Aveia,flocos finos,,,,,,,,,,Neston,321,"Aveia, flocos, finos,",9,"16,32","5,75","8,4","1,8","11,8","64,48","52,68","351,6","1471,09",,,,,,,,,,,,,,,,
106,A089,Brasil,Aveia,flocos finos,,,instantânea,,,Avena,sativa,,,Float,4,"Aveia, flocos, finos, instantânea","9,8","15,7",,"9,2","1,5","9,38","63,8","54,42","363,28","1519,96",,,,,,,,,,,,,,,,
107,A090,Brasil,Aveia,flocos grossos,,,,,,Avena,sativa,,,,4,"Aveia, flocos, grossos","9,5","16,5",,"8,8","1,7","9,38","63,5","54,12","361,68","1513,27",,,,,,,,,,,,,,,,
108,A729,Brasil,Aveia,flocos,,,,,,Avena ,sativa,,,Yoki,335,"Aveia, flocos, Yoki","12,71","12,02",,"6,21","1,48","6,47","67,58","61,11","348,41","1457,75",,,,,,,,,,,,,,,,
109,A091,Chile,Avena,,,,,,,Avena,sativa,,,,44,Avena,"9,6","9,6","5,7","5,2","3,5",,"72,1",,,,,,,,,,148,260,,,,,,,,
110,A092,Chile,Avena,,,,,,,Avena,sativa,,,,45,Avena,"12,9",,,,,,,,,,,,,,,,,,"5,12",,,,,,,
111,A093,Chile,Avena,,,,,,,Avena,sativa,,,,46,Avena,"12,3",,,,,,,,,,,,,,,,,,,,,,"0,56",,,
112,A094,Colombia,Avena,,,grano entero,"aplastada,cruda",extranjera,,Avena ,sativa L.,,,,,"Avena, aplastada, cruda, extranjera",9,"14,2",,"7,3","1,6",,"67,9",,,,,,,,,,56,450,"2,8",,0,,"0,63","0,12","1,3",0
113,A095,Colombia,Avena,,,grano entero,aplastada,nacional,,Avena ,sativa L.,,,,,"Avena, aplastada, nacional","11,5",11,,6,"1,5",,70,,,,,,,,,,55,320,"4,2",,0,,"0,46","0,11","1,2",0
114,A096,Argentina,Avena,arrollada, ,grano,cruda, ,,,,,,,INN,"Avena, arrollada, cruda","11,9","15,6","6,25","7,8","2,2",,"62,5",,,,,,,,47,391,36,360,"4,13",,,,"0,59","0,16","1,4",0
115,A097,Argentina,Avena,arrollada, ,grano,cruda, ,,,,,,,UNLU,"Avena, arrollada, cruda ","10,9","12,8","5,83","7,1","1,9","10,4","67,3","56,9","342,82","1434,36",,,,,65,460,"21,4",333,"4,2","4,4",,,,,,0
116,A098,Argentina,Avena,arrollada, ,grano,hervida, ,,,,, ,,INN,"Avena, arrollada, hervida","77,1","3,8","6,25","1,9","1,4",,"15,8",,,,,,,,21,87,12,90,"1,09",,,,0,0,0,0
117,A099,Colombia,Avena,cereal Chocavena,Quaker,,,,,,,,,,,"Avena, cereal, chocavena, Quaker","2,1",6,,"3,5","3,1",,"85,3",,,,,,,,,,466,204,"1,1",,0,,"1,1","0,7","8,4",0
118,A100,Colombia,Avena,cereal Frescavena,Quaker,,,,,,,,,,,"Avena, cereal, frescavena, Quaker","3,2","7,2",,"3,5","2,6",,"83,5",,,,,,,,,,410,168,"2,3",,0,,"1,3","0,7","8,3",0
119,A101,Colombia,Avena,cereal,Quaker,,cruda,,,,,,,,,"Avena, cereal, Quaker, cruda","6,1","13,7",,"4,7","4,2",,"71,3",,,,,,,,,,1193,713,"0,4",,210,,"0,55","0,12","1,5",0
120,A102,Bolivia,Avena,con cocoa,,,cruda,,,,,Princesa,,,,"Avena, con cocoa, cruda","9,7","15,2",,"7,2","2,4",,"65,5",,,,,,,,,,64,450,"5,6",,0,,"0,25","0,16","1,12",1
121,A103,Argentina,Avena,con leche ,,,,,,,,,,,,"Avena, con leche ","72,8","4,8","6,25","3,5","1,8",,"17,1",,,,,,,,55,179,111,146,"0,76",,,,,,,
