ID,CODIGO,PAIS,ALIMENTO,TIPO,CEPA,PARTE,PROCESO,GRADO,MENSAJE,GENERO,ESPECIE,VARIEDAD,NOMBRE_ALT,NOMBRE_COMERCIAL,REFERENCIA,NOMBRE_CORTO,WATER,PROCNT,XN,FAT,ASH,FIBTG,CHOCDF,CHOAVL,ENERC,ENERC_KJ,FASAT,FAMS,FAPU,CHOLE,NA,K,CA,P,FE,ZN,VITA,CARTBEQ,THIA,RIBF,NIA,VITC
2575,C575,Perú,Tumbo ,costeño,,,,,,Passiflora,quadrangularis L.,,,,,"Tumbo, costeño","93,3","0,4",,0,"0,5",,"5,8",,,,,,,,,,11,15,"0,4",,6,,"0,01","0,04","0,47","34,4"
2576,C577,Bolivia,Tuna,,,fruto,,fresca,,Opuntia ,vulgaris,Amarilla,,,,Tuna,"82,5","1,1",,"0,2","0,3",,"15,9",,,,,,,,,,34,20,"0,5",,,,"0,03","0,02","0,3",17
2577,C578,Bolivia,Tuna,,,fruto,,fresca,,Opuntia ,vulgaris,Blanca,,,,Tuna,"83,7","1,1",,"0,3","0,3",,"14,6",,,,,,,,,,33,23,"0,6",,6,,"0,04","0,02","0,4",9
2578,C579,Colombia,Tuna,,,pulpa sin semillas,,,,Opuntia ,schumannii ,Weber ex  Berjer,,,,Tuna,"90,6","0,5",,0,"0,4",,"8,5",,,,,,,,,,22,7,"0,4",,0,,"0,01","0,02","0,3",30
2579,C580,Ecuador,Tuna,,,fruto,crudo,,,,,,,,9,Tuna,"8,2","28,1",,"38,3","5,2","5,1","20,2","15,1",518,"2167,31",,,,,,,,,,,,,,,,
2580,C581,Perú,Tuna,,,,,,,Opuntia,ficus,indica Mill.,,,,Tuna,"82,3","0,8",,0,"1,5",,"15,4",,,,,,,,,,16,26,"0,3",,1,,"0,01","0,04","0,36","19,5"
2581,C582,México,Tuna,cardona,,fruto,cruda,fresca,,Opuntia,streptacantha,,,,,"Tuna, cardona, cruda",91,"0,6","6,25",0,"0,2",,"8,2",,,,,,,0,5,220,49,16,"2,6",,5,,"0,02","0,02","0,2",22
2582,C583,Perú,Tuna,colorada,,,,,,Opuntia,ficus,indica Mill.,,,,"Tuna, colorada","83,5","0,6",,0,"0,4",,"15,5",,,,,,,,,,39,39,"0,2",,,,"0,01","0,04","0,42","25,5"
2583,C584,México,Tuna,,,fruto con semilla,cruda,fresca,Promedio de diferentes variedades,Opuntia,spp.,,,,,"Tuna, con semilla, cruda ","87,6","0,3","6,25","0,1","0,4",,"11,6",,,,,,,0,5,220,56,32,"0,3","0,12",5,,"0,01","0,06","0,5",14
2584,C585,Chile,Tuna,,,"fruto, sin piel",cruda,,,Opuntia,ficus-indica ,,,,68,"Tuna, sin piel, cruda","81,4","1,1","6,25","0,4","0,5",,"16,6",,,,,,,,"2,01","156,9","57,3",32,"1,23",,,,"0,01","0,02","0,26","18,4"
2585,C679,Argentina,Ubajay,,,fruto,crudo,fresco,,,,,"Pasionaria, flor de la pasion, granadilla, biricuya, mburucuya guazu (guarani)",,ITA,"Ubajay, fresco","88,95","1,08",,"1,59","0,29",,"8,09",,,,,,,,,"97,3","32,3","18,6","0,4",,,,,,,
2586,C586,Colombia,Uchuva,,,,,,,,,,,,,Uchuva,"85,9","1,5",,"0,5","0,7",,"11,4",,,,,,,,,,9,21,"0,4",,520,,"0,01","0,17","0,8",20
2587,C587,Colombia,Umuy,,,almendra,,,,,,,,,,Umuy,"60,8","3,4",,"0,7","2,1",,33,,,,,,,,,,13,32,"0,8",,0,,"0,15","0,03","1,6",65
2588,C588,Perú,Ungurauy,,,,,,,Jessenia ,batana Burret.,,,,,Ungurauy,"41,7","2,8",,"21,1","0,8",,"33,6",,,,,,,,,,65,16,"0,9",,8,,"0,06","0,68",,
2589,C589,México,Usté,usté,,fruto,crudo,fresco,,Malpighia,punicifolia l.,,Usté,,,"Usté, acerola, crudo","88,3","2,6","6,25","0,5","1,5",,"7,1",,,,,,,,7,146,22,,"0,2",,35,,"0,02","0,06","0,4",1678
2590,C590,Bolivia,Uva,,,fruto,fresca,,,Vitis ,vinifera,Blanca,,,,Uva,"82,6","0,7",,"0,5","0,4",,"15,8",,,,,,,,,,19,16,1,,0,,"0,04","0,05","0,44",4
2591,C591,Bolivia,Uva,,,fruto,fresca,,,Vitis ,vinifera,Negra,,,,Uva,"78,2","0,5",,"0,5","0,3","0,4","20,5","20,1","86,6","362,33",,,,,,,13,33,"0,9",,12,,"0,05","0,04","0,44",3
2592,C592,Bolivia,Uva,,,fruto,fresca,,,Vitis ,vinifera,Rosada,,,,Uva,"81,8","0,8",,"0,5","0,6","0,9","16,3","15,4","69,07","288,99",,,,,,,18,16,"0,8",,0,,"0,04","0,05","0,49",4
2593,C593,Perú,Uva,blanca,,,,,,Vitis,vinifera L.,,,,,"Uva, blanca","87,8","0,3",,"0,2","0,4",,"11,3",,,,,,,,,,5,20,"0,8",,4,,"0,03","0,03","0,11","1,4"
2594,C594,Bolivia,Uva,blanca,enlatada,Cochabamba,,,,,,,,,,"Uva, blanca, enlatada, Cochabamba","67,2",1,,"1,1","0,3",,"30,4",,,,,,,,,,12,14,"0,5",,46,,"0,01","0,1","0,74",3
2595,C595,Colombia,Uva,blanca,,pulpa sin semillas ni cáscara,,,,Vitis ,vinifera L.,,,,,"Uva, blanca, sin cáscara","90,5","0,5",,0,"0,4",,"8,6",,,,,,,,,,6,20,"0,3",,0,,"0,03","0,01","0,1",5
2596,C596,Perú,Uva,borgoña,,,,,,Vitis,vinifera L.,,,,,"Uva, borgoña",77,"0,9",,"0,3","0,5",,"21,3",,,,,,,,,,18,32,"1,1",,13,,"0,01","0,13","0,32","4,7"
2597,C597,México,Uva,,,fruto,cruda,fresca,,Vitis,vinifera l.,,,,,"Uva, cruda","80,7","0,7","6,25","0,6","0,3",,"17,7",,,,"0,19","0,02","0,13",0,2,185,11,13,"0,2",0,8,,"0,09","0,06","0,3",11
2598,C598,Perú,Uva,italia,,,,,,Vitis,vinifera L.,,,,,"Uva, italia","81,1","0,4",,"0,1","0,7",,"17,7",,,,,,,,,,19,28,"0,5",,3,,"0,03","0,1","0,24","2,8"
2599,C599,Perú,Uva,negra,,,,,,Vitis,vinifera L.,,,,,"Uva, negra","81,2","0,2",,"0,1","0,4",,"18,1",,,,,,,,,,6,20,"2,2",,,,"0,05","0,04","0,15","2,2"
2600,C600,Colombia,Uva,negra,,pulpa sin semillas ni cáscara,,,,Vitis ,vinifera L.,,,,,"Uva, negra, sin cáscara","89,2","0,4",,0,"0,3",,"10,1",,,,,,,,,,8,10,"0,6",,0,,"0,03","0,01","0,1",8
2601,C601,Brasil,Uva,niágara,,sin casca,,,,Vitis,vinifera L.,,,,"4, 51, 174","Uva, niágara, sin casca","89,02","0,3",,"0,27","0,23","1,98","10,18","8,2","36,43","152,42",,,,,,,,,,,,,,,,
2602,C602,Brasil,Uva,,,polpa,congelada,,,Vitis,vinifera L.,,,,174,"Uva, polpa","87,46",,,,,"2,27",,,,,,,,,,,,,,,,,,,,
2603,C603,Brasil,Uva,,,polpa,,,,Vitis,vinifera L.,,,,174,"Uva, polpa, congelada","87,46",,,,,"1,12",,,,,,,,,,,,,,,,,,,,
2604,C604,Perú,Uva,quebranta,,,,,,Vitis,vinifera L.,,,,,"Uva, quebranta","81,4","0,5",,"0,1","0,3",,"17,7",,,,,,,,,,14,11,"0,4",,,,"0,05","0,07","0,11","0,7"
2605,C605,Brasil,Uva,rubi,,,,,,Vitis,vinifera L.,,,,"51, 307","Uva, rubi","87,76","0,41",,"0,16","0,26","0,6","11,41","10,81","46,32","193,8",,,,,,,,,,,,,,,,
2606,C606,Bolivia,Uva,,,fruto,,seca,,Vitis ,vinifera L.,,,,,"Uva, seca","15,4",3,,"0,3","1,7","6,8","79,6","72,8","306,14","1280,89",,,,,,,70,74,3,,0,,"0,08","0,17","1,05",17
2607,C680,Bolivia,Uva,negra,sin pepas,fruto,seca,,,Vitis ,vinifera L.,,Pasa,,Lab.Nutricion INLASA,"Uva, seca, negra","15,38","2,9",,"0,32","1,69",,"79,71",,,,,,,,,,"59,36","76,4","2,99",,0,,"0,1",12,"0,6","7,2"
2608,C607,Brasil,Uva,thompson,,,,,,Vitis,vinifera L.,,,,"51, 307","Uva, thompson","78,78","0,34",,"0,2","0,34","1,05","20,34","19,29","80,32","336,06",,,,,,,,,,,,,,,,
2609,C608,Brasil,Uvaia,con casca,,sin caroço,,,,Eugenia,uvalha,,,,4,"Uvaia, con casca, sin caroço","85,53","1,56",,"2,04","0,44","2,04","10,43","8,39","58,16","243,34",,,,,,,,,,,,,,,,
2610,C609,Ecuador,Uvilla,,,fruto,crudo,,,,,,,,9,Uvilla,"8,7",48,,,"5,8","6,8",,,,,,,,,,,,,,,,,,,,
2611,C610,Perú,Uvilla,,,,,,,Pourouma,cecropiaefolia Mart.,,,,,Uvilla,"82,4","0,3",,"0,3","0,3",,"16,7",,,,,,,,,,34,10,"0,6",,,,,"0,22","0,3","0,6"
2612,C611,Chile,Voqui,negro,,fruto,fresco,,,Cissus,striata,,,,64,"Voqui, negro","66,5","1,7","6,25","3,2","1,4",,"27,2",,,,,,,,,,"180,5","61,5",13,,,,,,,
2613,C612,Perú,Warr'a,,,,,,,,,,,,,Warr'a,71,"1,5",,"0,2","0,9",,"26,4",,,,,,,,,,51,26,"3,4",,17,,"0,02","0,11","0,58","2,8"
2614,C613,México,Xocoyol,,,fruto,crudo,fresco,,Oxalis,divergens,,,,,"Xocoyol, crudo","91,8","0,2","6,25","0,1","0,9",,7,,,,,,,,,,130,,"4,3",,388,,"0,11","0,13","0,4",26
2615,C614,Colombia,Yaca,,,semilla fresca,,,,,,,Peraleja,,,Yaca,"47,8","5,5",,"0,4","1,4",,"44,9",,,,,,,,,,32,73,"0,9",,"3,6",,"0,2","0,07","0,8",0
2616,C615,Colombia,Yaca,,,pulpa sin semillas,,,,,,,Peraleja,,,Yaca,85,"1,7",,"0,2","0,6",,"12,5",,,,,,,,,,25,19,"2,1",,"17,4",,"0,14","0,07","0,3",0
2617,C616,Perú,Yak'u,,,,,,,,,,,,,Yak'u,"69,3","1,8",,"2,2","1,4",,"25,3",,,,,,,,,,138,52,"3,2",,,,"0,04","0,18","0,9","14,8"
2618,C617,Colombia,Zapote,,,pulpa sin semillas,,,,Matisia,cordata H. & B.,,,,,Zapote,"85,1",1,,"0,1","0,7",,"13,1",,,,,,,,,,25,32,"0,8",,300,,"0,05","0,09","0,4",20
2619,C618,Ecuador,Zapote,,,fruto,crudo,,,,,,,,9,Zapote,,,,,,,,,,,,,,,,,,,,,,"1186,6",,,,
2620,C619,Perú,Zapote,,,,,,,Achras,zapota L.,,,,,Zapote,"79,7","0,9",,"0,3","0,3",,"18,8",,,,,,,,,,22,17,"1,8",,130,,"0,02","0,09","0,62","8,9"
2621,C620,México,Zapote,amarillo,,fruto,crudo,fresco,,Mammea,americana l.,,,,,"Zapote, amarillo, crudo","77,3","1,2","6,25","0,5","0,4",,"20,6",,,,,,,0,15,47,34,,"2,1",,18,,"0,04","0,06","2,3",59
2622,C621,México,Zapote,blanco,,fruto,crudo,fresco,,Casimiroa,edulis,,,,,"Zapote, blanco, crudo","83,8","1,7","6,25","0,7","0,5",,"13,3",,,,,,,,,,8,,"0,2",,7,,"0,04","0,08","0,6",36
2623,C622,México,Zapote,borracho,,fruto,crudo,fresco,,Pouteria,campachiana,,Sunzapote,,,"Zapote, borracho, crudo","59,7","1,3","6,25","0,8","0,9",,"37,3",,,,,,,,,,36,36,"0,7",,25,,"0,18",0,"3,3",40
2624,C623,México,Zapote,negro,,fruto,crudo,fresco,,Diospyros,ebenaster ,Retz,,,,"Zapote, negro",82,"0,8","6,25","0,1","1,1",,16,,,,,,,,,,47,26,"1,6",,10,,"0,02","0,03","0,2",83
2625,C681,Costa Rica,Zapote,pulpa,,,procesada,homogenizado,,Pouteria,fossicola,Borucana,,,,"Zapote, pulpa, Pouteria fossicola","60,9",,,,,,,,,,,,,,,,,,,,,,,,,
2626,C682,Costa Rica,Zapote,pulpa,,,procesada,homogenizado,,Pouteria,viridis,Verde,,,,"Zapote, pulpa, Pouteria viridis","60,9",,,,,,,,,,,,,,,,,,,,,,,,,
2627,C683,Costa Rica,Zapote,pulpa,,,procesada,homogenizado,,Pouteria,sapota,,,,,"Zapote, pulpa, Pouteria zapota","77,5",,,,,,,,,,,,,,,,,,,,,,,,,
