name,waterPercentage,caloriesKcal,proteinG,totalFatG,carbohydratesG,dietaryFiberG,calciumMg,phosphorusMg,ironMg,thiamineMg,riboflavinMg,niacinMg,vitaminCmg,vitaminAEquivRetinolMcg,monounsaturatedFatG,polyunsaturatedFatG,saturatedFatG,cholesterolMg,potassiumMg,sodiumMg,zincMg,magnesiumMg,vitaminB6Mg,vitaminB12Mcg,folicAcidMcg,folateEquivFDMcg,edibleFractionPercentage,categoryId
Refresco De Cereales Avena Polvo (Cerevita),0.0,381,7.5,3.9,79.1,0.0,510.0,335.0,5.0,0.55,0.2,3.0,35.0,180.0,0.0,0.0,0.0,0.0,200.0,480.0,0.0,0.0,0.25,0.6,20.0,0.0,1.0,9
Refresco De Cereales Horchata Polvo (Cerevita),0.0,384,1.6,0.15,94.0,0.0,95.0,75.0,5.0,0.55,0.2,3.0,35.0,180.0,0.0,0.0,0.0,0.0,30.0,120.0,0.0,0.0,0.25,0.6,20.0,0.0,1.0,9
Refresco De Cereales Sabor Chocolate Polvo (Cerevita),0.0,373,6.7,1.5,83.0,0.0,90.0,130.0,5.0,0.55,0.2,3.0,35.0,180.0,0.0,0.0,0.0,0.0,260.0,410.0,0.0,0.0,0.25,0.6,20.0,0.0,1.0,9
Refresco De Chicha De Maíz Fermentado,94.5,22,0.0,0.0,5.4,0.0,158.0,0.0,0.3,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Refresco De Chicha De Maíz Germinado,82.2,69,2.4,0.4,14.8,0.0,14.0,34.0,0.7,0.06,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Refresco De Chicha De Pulpa Y Nuez,97.8,16,0.2,1.6,0.3,0.0,8.0,1.0,0.1,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Refresco De Horchata C/Morro,88.5,49,0.2,0.3,11.0,0.0,9.0,8.0,6.6,0.0,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Rompopo,74.37,135,3.81,7.48,13.54,0.0,130.0,109.0,0.2,0.03,0.19,0.1,2.0,45.0,2.23,0.34,4.44,59.0,165.0,54.0,0.46,19.0,0.05,0.45,0.0,1.0,1.0,9
Suchiles Pasta,2.8,515,13.0,27.2,54.6,0.0,81.0,233.0,10.7,0.05,0.23,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Te De Hierbas (No Manzanilla) Preparado C/Agua S/Azúcar,99.7,1,0.0,0.0,0.2,0.0,2.0,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.04,1.0,0.0,0.0,0.0,1.0,1.0,9
Te De Manzanilla Preparado C/Agua S/Azúcar,99.7,1,0.0,0.0,0.2,0.0,2.0,0.0,0.08,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.04,1.0,0.0,0.0,0.0,1.0,1.0,9
Te Negro Instantáneo En Polvo,5.09,315,20.21,0.0,58.66,8.5,118.0,239.0,2.26,0.0,0.99,10.8,0.0,0.0,0.0,0.0,0.0,0.0,6040.0,72.0,1.69,272.0,0.36,0.0,0.0,103.0,1.0,9
Te Negro Instantáneo Preparado C/Agua S/Azúcar,99.62,1,0.06,0.0,0.17,0.0,3.0,1.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.01,1.0,0.0,0.0,0.0,0.0,1.0,9
Te Negro Hojas Secas,11.4,308,8.0,4.0,71.4,0.0,400.0,300.0,11.9,0.08,0.73,6.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Te Negro Hojas Secas Preparado C/Agua S/Azúcar,99.7,1,0.0,0.0,0.3,0.0,0.0,1.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,0.02,3.0,0.0,0.0,0.0,5.0,1.0,9
Chocobanano,0.0,138,1.48,1.63,32.06,2.28,13.0,39.0,0.68,0.04,0.06,0.62,13.0,11.0,0.61,0.13,1.06,0.0,436.0,4.0,0.15,27.0,0.55,0.0,18.0,0.0,1.0,10
Croissant De Mantequilla,23.2,406,8.2,21.0,45.8,2.6,37.0,105.0,2.03,0.39,0.24,2.19,0.0,206.0,5.53,1.09,11.66,67.0,118.0,744.0,0.75,16.0,0.06,0.16,60.0,130.0,1.0,10
Croissant De Manzana,45.6,254,7.4,8.7,37.1,2.5,30.0,58.0,1.1,0.23,0.16,1.6,1.0,94.0,2.39,0.63,4.99,31.0,90.0,274.0,1.03,13.0,0.03,0.2,44.0,88.0,1.0,10
Croissant De Queso,21.0,414,9.2,20.9,47.0,2.6,53.0,130.0,2.15,0.52,0.32,2.16,0.0,204.0,6.51,2.38,10.63,57.0,132.0,555.0,0.94,24.0,0.07,0.32,41.0,103.0,1.0,10
Donas Con Cubierta De Azúcar,19.6,426,5.2,22.9,50.8,1.5,60.0,117.0,1.06,0.23,0.2,1.51,0.0,3.0,12.7,2.91,5.93,32.0,102.0,402.0,0.44,17.0,0.03,0.24,34.0,70.0,1.0,10
Donas Con Cubierta De Chocolate,16.3,417,4.5,19.9,57.4,2.2,213.0,162.0,2.27,0.05,0.07,0.47,0.0,12.0,11.28,2.48,5.13,57.0,106.0,340.0,0.57,34.0,0.03,0.1,28.0,65.0,1.0,10
Donas Con Relleno De Jalea,35.6,340,5.9,18.7,39.0,0.9,25.0,85.0,1.76,0.31,0.14,2.14,0.0,17.0,10.23,2.38,4.84,26.0,79.0,293.0,0.75,20.0,0.1,0.22,51.0,104.0,1.0,10
Flan Sabor De Chocolate Polvo,4.0,387,2.6,2.1,89.3,4.5,53.0,88.0,1.82,0.01,0.2,0.33,0.0,0.0,0.69,0.07,1.21,1.0,209.0,353.0,0.9,67.0,0.02,0.0,0.0,4.0,1.0,10
Flan Sabor De Chocolate Preparado C/ Leche,73.3,119,3.21,3.15,19.4,0.8,96.0,87.0,0.35,0.04,0.19,0.15,0.0,24.0,0.81,0.18,1.81,9.0,150.0,98.0,0.48,20.0,0.03,0.3,0.0,4.0,1.0,10
Flan Sabor De Vainilla Polvo,3.9,379,0.3,0.4,93.5,0.6,5.0,2.0,0.08,0.0,0.01,0.0,0.0,0.0,0.03,0.17,0.09,0.0,20.0,754.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,10
Flan Sabor De Vainilla Preparado C/ Leche,74.66,112,2.86,2.9,18.68,0.1,89.0,74.0,0.04,0.03,0.16,0.09,0.0,25.0,0.71,0.2,1.64,9.0,119.0,156.0,0.34,9.0,0.03,0.31,0.0,4.0,1.0,10
Gelatina Todo Sabor Polvo,1.0,381,7.8,0.0,90.5,0.0,3.0,141.0,0.13,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,466.0,0.01,2.0,0.0,0.0,0.0,3.0,1.0,10
Gelatina Todo Sabor Preparada C/Agua,84.39,62,1.22,0.0,14.19,0.0,3.0,22.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0.01,1.0,0.0,0.0,0.0,1.0,1.0,10
Helado-Crema O Ice Cream Chocolate,55.7,216,3.8,11.0,28.2,1.2,109.0,107.0,0.93,0.04,0.19,0.23,1.0,118.0,3.21,0.41,6.8,34.0,249.0,76.0,0.58,29.0,0.05,0.29,0.0,16.0,1.0,10
Helado-Crema O Ice Cream Chocolate Sin Grasa,63.2,136,3.89,2.17,30.18,5.8,126.0,0.0,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.38,7.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10
Helado-Crema O Ice Cream Fresa,60.0,192,3.2,8.4,27.6,0.9,120.0,100.0,0.21,0.05,0.25,0.17,8.0,96.0,0.0,0.0,5.19,29.0,188.0,60.0,0.34,14.0,0.05,0.3,0.0,12.0,1.0,10
Helado-Crema O Ice Cream Vainilla,61.0,201,3.5,11.0,23.6,0.7,128.0,105.0,0.09,0.04,0.24,0.12,1.0,118.0,2.97,0.45,6.79,44.0,199.0,80.0,0.69,14.0,0.05,0.39,0.0,5.0,1.0,10
Helado-Crema O Ice Cream Vainilla Sin Azúcar,67.86,143,3.68,6.2,21.92,0.5,133.0,0.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9,18.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10
Helado-Crema O Ice Cream Vainilla Sin Grasa,63.42,137,3.3,2.2,30.51,5.4,122.0,0.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.41,8.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10
Helado-Nieve Distintas Frutas Comercial,66.9,128,0.4,0.0,32.6,0.0,2.0,1.0,0.16,0.0,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.02,1.0,0.0,0.0,0.0,0.0,1.0,10
Helado-Nieve Distintas Frutas No Comercial,0.0,113,0.05,0.02,29.17,0.14,3.0,1.0,0.09,0.01,0.01,0.02,7.0,279.0,0.01,0.02,0.0,0.0,13.0,0.0,0.01,2.0,0.01,0.0,1.0,0.0,1.0,10
Helado-Nieve Leche,0.0,142,1.15,1.22,32.58,0.0,55.0,30.0,0.14,0.01,0.07,0.04,0.0,320.0,0.35,0.04,0.73,5.0,53.0,17.0,0.13,5.0,0.01,0.13,2.0,0.0,1.0,10
Helado-Nieve Sabor Artificial,88.8,44,0.0,0.2,11.0,0.0,4.0,2.0,0.5,0.06,0.01,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10
Muffin De Avena,35.0,270,7.0,7.4,48.3,4.6,63.0,376.0,4.2,0.26,0.09,0.42,0.0,0.0,1.7,4.13,1.09,0.0,507.0,393.0,1.84,157.0,0.16,0.01,71.0,139.0,1.0,10
Muffin De Mezcla De Cereales,40.2,235,9.1,1.8,46.3,2.8,196.0,81.0,3.02,0.43,0.31,3.58,0.0,0.0,0.83,0.56,0.23,0.0,156.0,416.0,1.39,41.0,0.04,0.0,45.0,112.0,1.0,10
Muffin De Trigo,42.3,223,8.7,2.0,44.8,4.6,178.0,107.0,2.87,0.43,0.29,3.36,0.0,0.0,0.28,0.83,0.29,0.0,186.0,382.0,1.07,37.0,0.09,0.0,25.0,82.0,1.0,10
Pastel Amarillo Simple O Magdalena,23.1,389,5.2,17.9,52.5,1.0,64.0,134.0,0.6,0.02,0.12,0.34,0.0,35.0,9.94,2.25,4.65,58.0,106.0,400.0,0.39,13.0,0.02,0.14,0.0,9.0,1.0,10
Pastel Amarillo Harina Comercial,3.7,432,4.4,11.6,78.1,1.1,135.0,310.0,0.48,0.08,0.05,0.31,0.0,0.0,4.86,4.38,1.74,2.0,82.0,657.0,0.27,10.0,0.08,0.1,0.0,9.0,1.0,10
Pastel Blanco Harina Comercial,4.0,426,4.5,10.9,78.0,0.9,192.0,337.0,1.39,0.23,0.2,1.08,0.0,0.0,4.59,4.1,1.64,0.0,117.0,664.0,0.46,11.0,0.03,0.18,80.0,147.0,1.0,10
Pastel Coffecake,21.9,418,6.8,23.3,46.7,2.0,54.0,108.0,0.78,0.14,0.09,0.88,0.0,33.0,12.98,3.12,5.8,32.0,123.0,351.0,0.81,22.0,0.03,0.18,0.0,32.0,1.0,10
Pastel De Chocolate,22.9,367,4.1,16.4,54.6,2.8,43.0,122.0,2.2,0.03,0.13,0.58,0.0,26.0,8.76,1.85,4.77,42.0,200.0,334.0,0.69,34.0,0.04,0.14,9.0,23.0,1.0,10
Pastel De Chocolate Harina Comercial,3.1,428,5.9,15.6,73.0,2.4,150.0,270.0,4.5,0.17,0.16,1.6,0.0,1.0,6.31,5.04,3.26,0.0,330.0,825.0,0.8,47.0,0.04,0.0,47.0,95.0,1.0,10
Pastel De Frutas Cristalizadas,25.3,324,2.9,9.1,61.6,3.7,33.0,52.0,2.07,0.05,0.1,0.79,1.0,7.0,4.2,3.32,1.05,5.0,153.0,270.0,0.27,16.0,0.05,0.01,17.0,32.0,1.0,10
Pastel De Queso (Cheeesecake),45.6,321,5.5,22.5,25.5,0.4,51.0,93.0,0.63,0.03,0.19,0.19,0.0,142.0,8.63,1.6,9.92,55.0,90.0,207.0,0.51,11.0,0.05,0.17,3.0,20.0,1.0,10
Pie De Limón,41.7,268,1.5,8.7,47.2,1.2,56.0,105.0,0.61,0.06,0.21,0.65,3.0,51.0,2.68,3.65,1.77,45.0,89.0,146.0,0.49,15.0,0.03,0.17,16.0,35.0,1.0,10
Pie De Manzana,52.2,237,1.9,11.0,34.0,1.6,11.0,24.0,1.21,0.13,0.16,1.12,3.0,29.0,4.39,2.2,3.8,0.0,65.0,266.0,0.16,7.0,0.04,0.01,0.0,4.0,1.0,10
Pie De Melocotón,54.4,223,1.9,10.0,32.9,0.8,8.0,22.0,0.5,0.06,0.03,0.2,1.0,10.0,4.24,3.75,1.51,0.0,125.0,270.0,0.09,6.0,0.02,0.0,25.0,47.0,1.0,10
Rollos Dulces C/Canela,24.8,372,6.2,16.4,50.9,2.4,72.0,76.0,1.6,0.32,0.26,2.38,2.0,62.0,4.8,7.47,3.08,66.0,111.0,383.0,0.59,17.0,0.11,0.14,48.0,106.0,1.0,10
Rollos Dulces C/Queso,29.4,360,7.1,18.3,43.7,1.2,118.0,98.0,0.76,0.15,0.13,0.83,0.0,0.0,9.06,2.03,6.06,76.0,137.0,357.0,0.63,19.0,0.07,0.3,12.0,51.0,1.0,10
Bebida-Bebe Jugo Procesado Frutas Mixtas,87.9,47,0.1,0.1,11.6,0.1,8.0,5.0,0.34,0.02,0.01,0.12,64.0,2.0,0.01,0.04,0.01,0.0,101.0,4.0,0.03,5.0,0.04,0.0,0.0,7.0,1.0,11
Bebida-Bebe Jugo Procesado Frutas Mixtas C/Yogurt,81.5,76,2.4,0.8,14.68,0.4,81.0,60.0,0.2,0.04,0.1,0.16,34.0,5.0,0.22,0.02,0.52,3.0,137.0,36.0,0.14,10.0,0.05,0.43,0.0,6.0,1.0,11
Bebida-Bebe Jugo Procesado Manzana,88.0,47,0.0,0.1,11.7,0.1,4.0,5.0,0.57,0.01,0.02,0.08,58.0,1.0,0.0,0.03,0.02,0.0,91.0,3.0,0.03,3.0,0.03,0.0,0.0,0.0,1.0,11
Bebida-Bebe Jugo Procesado Manzana Y Melocotón,89.0,42,0.2,0.1,10.5,0.1,3.0,4.0,0.56,0.01,0.01,0.21,59.0,3.0,0.0,0.03,0.02,0.0,97.0,1.0,0.03,3.0,0.02,0.0,0.0,1.0,1.0,11
Bebida-Bebe Jugo Procesado Manzana Y Uva,88.1,46,0.1,0.2,11.34,0.1,6.0,5.0,0.39,0.01,0.02,0.11,136.0,0.0,0.01,0.06,0.04,0.0,90.0,3.0,0.04,3.0,0.03,0.0,0.0,1.0,1.0,11
Bebida-Bebe Jugo Procesado Naranja,88.5,44,0.6,0.3,10.2,0.1,12.0,11.0,0.17,0.05,0.03,0.24,63.0,3.0,0.05,0.06,0.04,0.0,184.0,1.0,0.06,9.0,0.05,0.0,0.0,26.0,1.0,11
Bebida-Bebe Jugo Procesado  Naranja Y Piña,87.3,48,0.5,0.1,11.7,0.1,8.0,9.0,0.42,0.05,0.02,0.19,53.0,2.0,0.01,0.02,0.01,0.0,141.0,2.0,0.04,9.0,0.06,0.0,0.0,19.0,1.0,11
Bebida-Bebe Jugo Procesado  Pera,87.9,47,0.0,0.0,11.86,0.1,12.0,12.0,0.0,0.01,0.03,0.3,34.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.08,8.0,0.01,0.0,0.0,4.0,1.0,11
Bebida-Bebe Jugo Procesado  Zanahoria Y Naranja,89.1,43,0.5,0.1,9.9,0.4,16.0,19.0,0.2,0.06,0.05,0.21,34.0,94.0,0.01,0.03,0.01,0.0,174.0,10.0,0.07,10.0,0.05,0.0,0.0,39.0,1.0,11
Cereal-Cerelac Trigo C/Leche,2.5,419,15.5,9.0,68.9,1.4,400.0,330.0,7.5,0.8,0.3,4.0,35.0,310.0,0.0,0.0,0.0,0.0,530.0,180.0,0.0,0.0,0.0,0.75,22.0,0.0,1.0,11
Cereal-Cerelac Trigo Banano C/Leche,2.6,413,15.5,9.0,67.5,2.0,452.0,373.0,7.5,0.8,0.3,4.0,35.0,309.0,0.0,0.0,0.0,0.0,772.0,203.0,0.0,0.0,0.0,0.75,23.0,0.0,1.0,11
Cereal-Cerelac Trigo Milo C/Leche,2.5,414,15.5,9.0,67.8,1.9,500.0,405.0,7.5,0.8,0.3,4.0,35.0,309.0,0.0,0.0,0.0,0.0,630.0,205.0,0.0,0.0,0.0,0.75,23.0,0.0,1.0,11
Cereal-Gerber Arroz,5.8,380,4.0,3.5,83.0,1.0,451.0,330.0,26.0,0.63,0.0,16.0,130.0,313.0,0.0,0.0,0.0,0.0,130.0,240.0,12.0,48.0,1.15,0.72,32.0,0.0,1.0,11
Cereal-Gerber Arroz C/Frutas,4.0,390,5.0,3.5,84.0,0.0,451.0,329.0,26.0,0.63,0.0,16.0,129.0,313.0,0.0,0.0,0.0,0.0,310.0,115.0,12.0,47.0,1.12,0.71,32.0,0.0,1.0,11
Cereal-Gerber Arroz C/Leche,1.9,399,14.9,5.7,72.1,5.2,1000.0,780.0,20.0,0.8,0.9,15.0,85.0,200.0,0.0,0.0,0.0,0.0,665.0,216.0,0.0,0.0,0.14,0.51,16.0,0.0,1.0,11
Cereal-Gerber Avena,6.6,390,12.0,7.0,70.0,6.0,451.0,329.0,26.0,0.6,0.0,16.0,129.0,313.0,0.0,0.0,0.0,0.0,320.0,220.0,12.0,47.0,1.14,0.71,32.0,0.0,1.0,11
Cereal-Gerber Avena C/Leche Y Banano,1.6,402,14.7,6.0,72.3,1.5,1000.0,780.0,20.0,0.8,0.92,15.0,85.0,200.0,0.0,0.0,0.0,0.0,788.0,200.0,0.0,0.0,0.12,0.65,11.0,0.0,1.0,11
Cereal-Gerber Cebada,6.8,374,9.2,3.2,77.0,2.8,634.0,528.0,40.0,0.67,0.25,15.0,85.0,200.0,0.0,0.0,0.0,0.0,359.0,10.0,0.0,0.0,0.23,0.0,23.0,0.0,1.0,11
Cereal-Gerber Maíz,7.5,374,6.8,2.0,81.1,1.9,634.0,528.0,40.0,0.67,0.25,15.0,85.0,200.0,0.0,0.0,0.0,0.0,86.0,2.0,0.0,0.0,0.07,0.0,12.0,0.0,1.0,11
Cereal-Gerber Mixto,4.1,390,9.0,4.0,79.0,2.0,451.0,330.0,26.5,0.64,0.0,16.3,129.0,313.0,0.0,0.0,0.0,0.0,170.0,260.0,11.6,49.0,1.14,0.69,32.0,0.0,1.0,11
Cereal-Gerber Trigo C/Leche,1.2,404,14.8,5.9,72.8,2.1,1000.0,780.0,20.0,0.8,0.92,15.0,85.0,200.0,0.0,0.0,0.0,0.0,713.0,238.0,0.0,0.0,0.11,0.58,18.0,0.0,1.0,11
Cereal-Gerber Trigo C/Manzana,2.5,409,10.4,6.8,76.5,5.5,634.0,528.0,20.0,0.67,0.25,15.0,85.0,200.0,0.0,0.0,0.0,0.0,550.0,141.0,0.0,0.0,0.26,0.0,38.0,0.0,1.0,11
Cereal-Gerber Trigo C/Miel,2.3,400,6.0,3.5,85.0,1.0,450.0,330.0,26.0,0.64,0.0,16.0,129.0,313.0,0.0,0.0,0.0,0.0,160.0,140.0,11.5,49.0,1.13,0.7,32.0,0.0,1.0,11
Cereal-Nestum Arroz,4.0,379,6.1,0.7,87.0,1.6,100.0,80.0,15.0,0.55,0.0,8.0,65.0,210.0,0.0,0.0,0.0,0.0,83.0,170.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,11
Cereal-Nestum Arroz C/Frutas,0.0,364,5.2,0.6,84.4,2.9,275.0,225.0,15.0,0.9,0.0,4.8,80.0,750.0,0.0,0.0,0.0,0.0,285.0,295.0,10.0,0.0,0.25,0.5,90.0,0.0,1.0,11
Cereal-Nestum Avena,4.0,369,10.0,5.2,70.7,4.6,675.0,440.0,15.0,0.9,0.0,4.8,80.0,750.0,0.0,0.0,0.0,0.0,285.0,295.0,10.0,0.0,0.25,0.5,90.0,0.0,1.0,11
Cereal-Nestum Avena C/Banano,0.0,360,9.1,4.5,73.5,5.2,585.0,390.0,15.0,0.9,0.0,4.8,80.0,750.0,0.0,0.0,0.0,0.0,430.0,285.0,10.0,0.0,0.25,0.5,90.0,0.0,1.0,11
Cereal-Nestum Integral,4.0,350,10.9,2.4,71.7,8.3,350.0,290.0,15.0,0.55,0.0,8.0,65.0,210.0,0.0,0.0,0.0,0.0,330.0,440.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,11
Cereal-Nestum Mixto 4 Cereales,3.8,373,9.5,1.2,81.0,2.8,150.0,120.0,18.5,0.4,0.0,11.0,85.0,200.0,0.0,0.0,0.0,0.0,140.0,280.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,11
Cereal-Nestum Mixto 5 Cereales,0.0,366,10.0,1.5,72.9,5.2,415.0,260.0,15.0,0.9,0.0,4.8,80.0,750.0,0.0,0.0,0.0,0.0,170.0,195.0,10.0,0.0,0.25,0.5,90.0,0.0,1.0,11
Cereal-Nestum Trigo,0.0,376,8.1,2.35,80.6,3.2,135.0,110.0,15.0,0.9,0.0,4.8,80.0,750.0,0.0,0.0,0.0,0.0,170.0,25.0,10.0,0.0,0.25,0.5,90.0,0.0,1.0,11
Cereal-Nestum Trigo C/Chocolate,4.0,372,8.9,1.5,80.8,3.8,140.0,110.0,15.0,0.55,0.0,8.0,65.0,210.0,0.0,0.0,0.0,0.0,630.0,205.0,0.0,0.0,0.27,0.5,18.0,0.0,1.0,11
Cereal-Nestum Trigo C/Leche,0.0,412,15.0,9.0,67.8,1.3,410.0,340.0,7.5,0.5,0.3,2.4,40.0,375.0,0.0,0.0,0.0,0.0,530.0,165.0,5.0,0.0,0.25,0.7,50.0,0.0,1.0,11
Cereal-Nestum Trigo C/Manzana Hojuelas,0.0,369,7.0,0.95,83.0,3.1,145.0,90.0,15.0,0.9,0.0,4.8,80.0,750.0,0.0,0.0,0.0,0.0,180.0,65.0,10.0,0.0,0.25,0.5,90.0,0.0,1.0,11
Cereal-Nestum Trigo C/Miel,3.0,371,8.6,0.9,82.2,2.1,125.0,90.0,15.0,0.9,0.0,1.8,80.0,750.0,0.0,0.0,0.0,0.0,110.0,295.0,10.0,0.0,0.25,0.5,90.0,0.0,1.0,11
Comida-Bebe Puré Procesado Banano,84.0,57,0.4,0.1,15.3,1.6,5.0,7.0,0.2,0.01,0.03,0.18,17.0,2.0,0.01,0.02,0.04,0.0,88.0,9.0,0.06,10.0,0.12,0.0,0.0,6.0,1.0,11
Comida-Bebe Puré Procesado Frutas Mixtas,83.5,66,0.4,0.3,15.48,0.6,15.0,17.0,0.2,0.02,0.02,0.1,12.0,7.0,0.11,0.04,0.09,15.0,46.0,25.0,0.8,4.0,0.02,0.01,0.0,3.0,1.0,11
Comida-Bebe Puré Procesado Macarrones Tomate Y Res,86.34,61,2.36,1.47,9.45,1.2,17.0,39.0,0.46,0.04,0.04,0.71,0.0,44.0,0.59,0.19,0.49,7.0,112.0,38.0,0.54,12.0,0.06,0.15,4.0,12.0,1.0,11
Comida-Bebe Puré Procesado Manzana,88.6,41,0.2,0.2,10.8,1.7,4.0,7.0,0.22,0.01,0.03,0.06,38.0,1.0,0.01,0.06,0.03,0.0,71.0,2.0,0.02,3.0,0.03,0.0,0.0,2.0,1.0,11
Comida-Bebe Puré Procesado Melocotón C/Azúcar,84.0,56,0.2,0.2,15.0,1.5,6.0,12.0,0.24,0.01,0.03,0.61,31.0,8.0,0.07,0.09,0.02,0.0,162.0,6.0,0.09,6.0,0.01,0.0,0.0,4.0,1.0,11
Comida-Bebe Puré Procesado Pavo Y Arroz,88.22,52,2.27,1.24,7.94,0.9,18.0,34.0,0.29,0.02,0.04,0.65,0.0,81.0,0.45,0.31,0.34,5.0,91.0,20.0,0.4,8.0,0.05,0.02,0.0,4.0,1.0,11
Comida-Bebe Puré Procesado Pavo Y Vegetales,82.3,80,4.8,3.4,8.0,0.0,46.0,57.0,0.6,0.02,0.09,0.59,3.0,105.0,0.0,0.0,0.0,0.0,166.0,334.0,0.32,16.0,0.06,0.44,0.0,3.0,1.0,11
Comida-Bebe Puré Procesado Pera,88.4,41,0.3,0.2,10.8,3.6,8.0,12.0,0.24,0.01,0.03,0.19,25.0,1.0,0.04,0.05,0.01,0.0,130.0,2.0,0.08,8.0,0.01,0.0,0.0,4.0,1.0,11
Comida-Bebe Puré Procesado Pera Y Piña,88.5,41,0.3,0.1,10.9,2.6,10.0,9.0,0.25,0.02,0.03,0.21,28.0,1.0,0.02,0.03,0.01,0.0,116.0,4.0,0.07,7.0,0.02,0.0,0.0,3.0,1.0,11
Comida-Bebe Puré Procesado Pollo Y Fideos,85.64,66,2.69,2.06,9.08,2.1,27.0,46.0,0.64,0.04,0.06,0.72,0.0,110.0,0.85,0.46,0.6,16.0,139.0,23.0,0.55,14.0,0.06,0.02,3.0,13.0,1.0,11
Comida-Bebe Puré Procesado Pollo Y Vegetales,86.9,59,2.47,1.73,8.42,2.1,27.0,47.0,0.53,0.03,0.05,0.72,0.0,207.0,0.71,0.37,0.5,11.0,158.0,24.0,0.48,14.0,0.07,0.01,0.0,5.0,1.0,11
Comida-Bebe Puré Procesado Res Y Arroz,81.9,82,5.0,2.9,8.8,0.0,11.0,35.0,0.69,0.02,0.07,1.34,4.0,25.0,0.0,0.0,0.0,0.0,120.0,357.0,0.92,8.0,0.14,0.51,0.0,6.0,1.0,11
Comida-Bebe Puré Procesado Res Y Vegetales,84.3,96,2.03,6.93,6.36,1.8,19.0,24.0,0.33,0.03,0.06,0.7,0.0,222.0,3.12,0.9,2.84,12.0,127.0,23.0,0.35,15.0,0.08,0.09,0.0,11.0,1.0,11
Comida-Bebe Puré Procesado Veg. Y Jamón P1,87.0,60,2.02,1.89,8.65,1.0,14.0,33.0,0.24,0.03,0.04,0.51,1.0,144.0,0.81,0.45,0.48,3.0,97.0,87.0,0.3,8.0,0.05,0.03,0.0,8.0,1.0,11
Comida-Bebe Puré Procesado Veg. Y Jamón P2,87.47,59,2.19,2.14,7.8,1.6,16.0,33.0,0.41,0.04,0.05,0.68,2.0,144.0,0.96,0.23,0.76,5.0,141.0,16.0,0.32,12.0,0.07,0.06,0.0,3.0,1.0,11
Comida-Bebe Puré Procesado Veg. Y Pavo,88.82,48,2.32,0.9,7.62,1.5,27.0,44.0,0.37,0.02,0.02,0.47,1.0,220.0,0.29,0.24,0.24,4.0,102.0,20.0,0.7,13.0,0.04,0.02,0.0,10.0,1.0,11
Comida-Bebe Puré Procesado Veg. Y Pollo,87.76,53,2.04,1.12,8.66,1.1,27.0,32.0,0.33,0.03,0.05,0.63,0.0,131.0,0.4,0.27,0.3,7.0,83.0,76.0,0.3,8.0,0.05,0.02,0.0,3.0,1.0,11
Comida-Bebe Puré Procesado Veg. Y Res,87.04,63,2.59,2.43,7.7,2.2,17.0,45.0,0.58,0.03,0.05,0.83,0.0,146.0,1.01,0.14,1.03,6.0,158.0,19.0,0.56,15.0,0.07,0.18,0.0,8.0,1.0,11
