name,waterPercentage,caloriesKcal,proteinG,totalFatG,carbohydratesG,dietaryFiberG,calciumMg,phosphorusMg,ironMg,thiamineMg,riboflavinMg,niacinMg,vitaminCmg,vitaminAEquivRetinolMcg,monounsaturatedFatG,polyunsaturatedFatG,saturatedFatG,cholesterolMg,potassiumMg,sodiumMg,zincMg,magnesiumMg,vitaminB6Mg,vitaminB12Mcg,folicAcidMcg,folateEquivFDMcg,edibleFractionPercentage,categoryId
Margarina Suave S/Sal (60% Grasa),38.13,531,0.6,60.0,0.0,0.0,21.0,16.0,0.0,0.01,0.03,0.02,0.0,819.0,13.12,33.41,9.69,1.0,30.0,28.0,0.0,2.0,0.01,0.07,0.0,1.0,1.0,8
Mayonesa Comercial C/Sal,39.9,390,0.9,33.4,23.9,0.0,14.0,26.0,0.2,0.01,0.02,0.0,0.0,21.0,9.0,18.0,4.9,26.0,9.0,711.0,0.18,2.0,0.02,0.21,0.0,6.0,1.0,8
Atol Chilate,94.9,38,0.3,4.2,0.5,0.0,4.0,16.0,0.6,0.02,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Atol De Maíz Polvo (Cerevita),0.0,376,3.35,0.7,89.2,0.0,230.0,190.0,5.0,0.55,0.2,3.0,35.0,180.0,0.0,0.0,0.0,0.0,80.0,590.0,0.0,0.0,0.25,0.6,20.0,0.0,1.0,9
Atol Shuco,89.7,37,0.3,0.3,8.3,0.0,12.0,43.0,1.0,0.22,0.01,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Batido O Milk Shake Chocolate,71.5,127,3.4,3.7,20.5,1.9,113.0,102.0,0.31,0.06,0.25,0.16,0.0,26.0,1.08,0.14,2.31,13.0,200.0,97.0,0.41,17.0,0.05,0.34,0.0,5.0,1.0,9
Batido O Milkshake Fresa,74.1,113,3.4,2.8,18.9,0.4,113.0,100.0,0.11,0.05,0.19,0.17,1.0,26.0,0.0,0.0,1.73,11.0,182.0,83.0,0.36,13.0,0.04,0.31,0.0,3.0,1.0,9
Batido O Milkshake Vainilla,69.65,148,3.37,6.52,19.59,0.9,115.0,98.0,0.46,0.03,0.66,0.21,0.0,91.0,1.78,0.32,3.96,23.0,166.0,81.0,0.57,13.0,0.06,0.22,0.0,0.0,1.0,9
Bebida - Deportistas Gatorade Polvo,2.7,364,0.0,0.0,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida - Deportistas Sabor Frutas Baja En Calorias Líquido,96.8,11,0.0,0.0,3.0,0.0,0.0,9.0,0.05,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,35.0,0.02,1.0,0.0,0.0,0.0,0.0,1.0,9
Bebida - Deportistas Sabor Frutas Líquido,92.94,27,0.0,0.1,6.76,0.0,1.0,7.0,0.22,0.01,0.82,0.62,0.0,0.0,0.0,0.0,0.0,0.0,14.0,30.0,0.2,2.0,0.06,0.45,0.0,0.0,1.0,9
Bebida Alcohólica Aguardiente O Ron,66.6,231,0.0,0.0,0.0,0.0,0.0,5.0,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Alcohólica Cerveza Regular,91.96,43,0.46,0.0,3.55,0.0,4.0,14.0,0.02,0.0,0.03,0.51,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.01,6.0,0.05,0.02,0.0,6.0,1.0,9
Bebida Alcohólica Cerveza Suave,94.88,29,0.24,0.0,1.64,0.0,4.0,12.0,0.03,0.0,0.01,0.39,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.01,5.0,0.03,0.09,0.0,6.0,1.0,9
Bebida Alcohólica Piña Colada Enlatada,54.9,237,0.6,7.6,27.6,0.1,1.0,36.0,0.03,0.02,0.0,0.1,2.0,1.0,0.44,0.14,6.57,0.0,83.0,71.0,0.2,6.0,0.02,0.0,0.0,6.0,1.0,9
Bebida Alcohólica Vino De Cocina,86.58,84,0.07,0.0,2.72,0.0,8.0,20.0,0.37,0.0,0.02,0.17,0.0,0.0,0.0,0.0,0.0,0.0,99.0,5.0,0.13,11.0,0.05,0.0,0.0,1.0,1.0,9
Bebida Alcohólica Vino De Mesa,86.49,85,0.07,0.0,2.61,0.0,8.0,23.0,0.46,0.0,0.03,0.22,0.0,0.0,0.0,0.0,0.0,0.0,127.0,4.0,0.14,12.0,0.06,0.0,0.0,1.0,1.0,9
Bebida Alcohólica Vino De Palma,93.0,27,0.0,0.1,6.6,0.0,4.0,10.0,0.5,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Alcohólica Whiskey,63.9,250,0.0,0.0,0.1,0.0,0.0,3.0,0.02,0.01,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida De Chocolate (Sabor) Polvo Fortificado Para Leche,1.1,400,4.55,2.27,90.28,4.5,455.0,86.0,0.0,0.01,0.06,0.2,27.0,0.0,0.0,0.0,2.27,0.0,280.0,136.0,6.82,53.0,0.91,0.0,0.0,4.0,1.0,9
Bebida De Chocolate Con Leche Polvo (Milo),0.0,420,11.0,10.0,68.0,0.0,547.0,775.0,9.6,1.85,1.67,11.92,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.24,1.08,0.0,0.0,1.0,9
Bebida De Soya Liquida (Ades),0.0,40,2.6,1.52,4.0,0.6,19.0,19.0,0.34,0.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,1.0,9
Bebida De Soya Polvo Instantánea (Delisoya),0.0,469,26.5,24.1,36.5,0.0,900.0,750.0,8.4,0.3,1.2,0.7,9.0,960.0,0.0,0.0,0.0,11.0,1500.0,0.0,8.4,80.0,0.3,3.5,40.0,0.0,1.0,9
Bebida Gaseosa O Carbonatada No Colas,87.6,48,0.0,0.0,12.3,0.0,5.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.1,1.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Gaseosa O Carbonatada Dietetica No Colas,99.8,0,0.0,0.0,0.1,0.0,4.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.05,1.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Gaseosa O Carbonatada Dietetica Tipo Colas,99.54,2,0.11,0.03,0.29,0.0,3.0,9.0,0.11,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.11,1.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Gaseosa O Carbonatada Tipo Colas C/Caféina,90.31,37,0.07,0.02,9.56,0.0,2.0,10.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.08,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Gaseosa O Carbonatada Tipo Soda,99.9,0,0.0,0.0,0.0,0.0,5.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.1,1.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Gaseosa O Carbonatada Tipo Tónica,91.1,34,0.0,0.0,8.8,0.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Gatorade Líquido,93.38,26,0.0,0.1,6.32,0.0,1.0,9.0,0.2,0.01,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,14.0,39.0,0.26,1.0,0.02,0.0,0.0,0.0,1.0,9
Bebida Malteada Natural En Polvo,2.0,429,14.29,9.52,71.43,0.9,298.0,358.0,0.7,0.5,0.92,5.25,3.0,82.0,2.03,1.43,4.76,24.0,758.0,405.0,0.99,93.0,0.41,0.8,0.0,46.0,1.0,9
Bebida Malteada Natural Preparada Con Leche,81.4,88,3.86,3.62,10.23,0.1,117.0,106.0,0.09,0.08,0.24,0.52,0.0,33.0,0.9,0.28,2.04,12.0,183.0,79.0,0.43,17.0,0.07,0.46,0.0,8.0,1.0,9
Bebida Nutritiva- Bienestarina Polvo,6.7,384,21.29,5.65,63.25,0.0,310.0,0.0,20.0,1.12,1.23,14.25,0.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Nutritiva- Incaparina Polvo,7.24,368,20.7,2.0,68.0,0.0,305.0,0.0,20.0,1.2,1.3,16.0,0.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.01,187.0,0.0,1.0,9
Bebida Nutritiva- Incaparina Polvo Instantáneo,6.0,363,17.65,2.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Nutritiva- Incaparina Preparada,0.0,43,1.56,0.36,8.62,0.0,22.0,45.0,0.71,0.11,0.06,0.86,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Nutritiva- Protina Polvo,0.0,376,12.0,1.5,78.8,0.0,380.0,280.0,11.2,1.7,1.01,13.62,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Nutritiva- Vitatol Polvo,6.25,382,21.0,1.6,64.0,0.0,332.0,594.0,16.0,1.7,1.01,13.62,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Bebida Nutritiva- Vitatol Preparada,0.0,40,1.58,0.18,8.22,0.0,39.0,40.0,0.35,0.06,0.07,0.43,0.0,114.0,0.01,0.0,0.01,0.0,42.0,12.0,0.09,3.0,0.01,0.09,1.0,0.0,1.0,9
Café Con Cocoa (Moca) Decaféinado Polvo,3.1,257,9.0,13.21,71.4,4.8,60.0,451.0,3.06,0.02,0.11,4.66,0.0,0.0,0.95,0.35,11.38,0.0,1856.0,500.0,1.01,122.0,0.03,0.0,0.0,5.0,1.0,9
Café De Cereales Preparado Con Agua,98.37,6,0.1,0.04,1.3,0.4,3.0,10.0,0.08,0.01,0.0,0.29,0.0,0.0,0.01,0.02,0.01,0.0,41.0,4.0,0.01,5.0,0.01,0.0,0.0,1.0,1.0,9
Café Expreso Restaurante,97.8,2,0.12,0.18,0.0,0.0,2.0,7.0,0.13,0.0,0.18,5.21,0.0,0.0,0.0,0.09,0.09,0.0,115.0,14.0,0.05,80.0,0.0,0.0,0.0,1.0,1.0,9
Café Instantáneo Descaféinado Polvo,3.2,224,11.6,0.2,42.6,0.0,140.0,286.0,3.8,0.0,1.36,28.08,0.0,0.0,0.02,0.1,0.1,0.0,3501.0,23.0,0.11,311.0,0.0,0.0,0.0,0.0,1.0,9
Café Instantáneo Descaféinado Preparado C/Agua S/Azúcar,98.93,2,0.12,0.0,0.43,0.0,3.0,4.0,0.06,0.0,0.01,0.28,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,9
Café Instantáneo Polvo,3.1,241,12.2,0.5,41.1,0.0,141.0,303.0,4.41,0.01,0.07,28.17,0.0,0.0,0.04,0.2,0.2,0.0,3535.0,37.0,0.35,327.0,0.03,0.0,0.0,0.0,1.0,9
Café Instantáneo Preparado C/Agua S/Azúcar,99.09,2,0.1,0.0,0.34,0.0,4.0,3.0,0.04,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.01,3.0,0.0,0.0,0.0,0.0,1.0,9
Café Instantáneo Sabor Capuchino C/Azúcar Polvo,1.3,406,3.1,5.56,85.94,1.2,133.0,183.0,0.48,0.11,0.04,2.26,1.0,0.0,1.6,0.24,3.42,2.0,831.0,180.0,0.25,43.0,0.04,0.38,0.0,5.0,1.0,9
Café Tostado Molido Polvo,5.0,226,12.6,14.8,63.4,0.0,148.0,198.0,2.9,0.07,0.05,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Café Tostado Molido Preparado C/Agua S/Azúcar,99.39,1,0.12,0.02,0.0,0.0,2.0,3.0,0.01,0.01,0.08,0.19,0.0,0.0,0.01,0.0,0.0,0.0,49.0,2.0,0.02,3.0,0.0,0.0,0.0,2.0,1.0,9
Chocolate Tablillas Para Bebida,2.1,457,3.4,15.1,78.4,0.0,38.0,128.0,3.0,0.06,0.08,0.52,0.0,6.0,5.64,0.43,8.7,0.0,615.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Cocoa Mixta Polvo,1.5,398,6.67,4.0,83.73,3.6,133.0,315.0,1.19,0.1,0.56,0.59,0.0,1.0,1.33,0.11,2.38,1.0,712.0,504.0,1.46,83.0,0.11,0.38,0.0,0.0,1.0,9
Cocoa Mixta Preparada Agua,86.34,55,0.81,0.55,11.64,0.5,22.0,43.0,0.17,0.01,0.08,0.08,0.0,0.0,0.18,0.02,0.33,1.0,98.0,71.0,0.21,12.0,0.02,0.18,0.0,0.0,1.0,9
Cocoa Simple S/Azúcar Polvo,3.0,229,19.6,13.7,54.3,33.2,128.0,734.0,13.86,0.08,0.24,2.18,0.0,0.0,4.57,0.44,8.07,0.0,1524.0,21.0,6.81,499.0,0.12,0.0,0.0,32.0,1.0,9
Fórmula Nutritiva Ensure Líquido,69.84,141,5.16,4.52,19.88,0.0,79.0,79.0,1.79,0.15,0.17,1.98,12.0,149.0,1.28,3.11,0.67,2.0,175.0,95.0,1.51,40.0,0.2,0.6,40.0,67.0,1.0,9
Fórmula Nutritiva Ensure Polvo,5.0,450,15.9,15.9,61.8,0.0,230.0,230.0,4.37,0.72,0.8,10.0,68.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Fórmula Nutritiva Sustagen Polvo,2.7,385,23.5,3.5,65.0,0.0,800.0,650.0,3.3,2.2,2.2,22.0,66.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
